Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,date,quarter,month_sin,month_cos,price_per_kwh,range_per_kwh,deliveries_lag_1,deliveries_lag_3,price_lag_1,deliveries_roll_3,price_roll_3
2015,1,Asia,Cybertruck,11325,11887,54449.08,60,339,575.88,Estimated (Region),6902,2015-01-01,1,0.49999999999999994,0.8660254037844387,907.4846666666667,5.65,,,,,
2015,1,North America,Model 3,9446,9528,110632.33,75,435,616.35,Estimated (Region),11496,2015-01-01,1,0.49999999999999994,0.8660254037844387,1475.0977333333333,5.8,,,,,
2015,1,North America,Model S,11986,13302,91906.09,82,457,821.64,Estimated (Region),4871,2015-01-01,1,0.49999999999999994,0.8660254037844387,1120.8059756097562,5.573170731707317,,,,,
2015,1,Asia,Model 3,8795,9165,87988.73,82,456,601.58,Official (Quarter),12626,2015-01-01,1,0.49999999999999994,0.8660254037844387,1073.0332926829267,5.560975609756097,,,,,
2015,1,Europe,Model S,4350,4736,53251.53,82,475,309.94,Interpolated (Month),5046,2015-01-01,1,0.49999999999999994,0.8660254037844387,649.4089024390244,5.7926829268292686,,,,,
2015,1,Middle East,Cybertruck,8803,9344,102888.58,60,336,443.67,Interpolated (Month),3923,2015-01-01,1,0.49999999999999994,0.8660254037844387,1714.8096666666668,5.6,,,,,
2015,1,North America,Cybertruck,6367,6802,104962.32,82,459,438.37,Estimated (Region),9170,2015-01-01,1,0.49999999999999994,0.8660254037844387,1280.0282926829268,5.597560975609756,,,,,
2015,1,Europe,Model 3,7597,8376,80810.67,75,417,475.19,Interpolated (Month),8942,2015-01-01,1,0.49999999999999994,0.8660254037844387,1077.4756,5.56,,,,,
2015,1,North America,Model X,8122,8343,62838.32,75,423,515.34,Official (Quarter),9297,2015-01-01,1,0.49999999999999994,0.8660254037844387,837.8442666666666,5.64,,,,,
2015,1,Middle East,Model 3,11446,12752,89289.4,100,588,1009.54,Estimated (Region),8925,2015-01-01,1,0.49999999999999994,0.8660254037844387,892.8939999999999,5.88,,,,,
2015,1,North America,Model Y,12170,12958,70386.04,120,696,1270.55,Official (Quarter),4673,2015-01-01,1,0.49999999999999994,0.8660254037844387,586.5503333333332,5.8,,,,,
2015,1,Middle East,Model Y,10348,10835,85599.95,82,488,757.47,Estimated (Region),5991,2015-01-01,1,0.49999999999999994,0.8660254037844387,1043.9018292682927,5.951219512195122,,,,,
2015,1,Middle East,Model S,13902,15423,94629.02,75,445,927.96,Official (Quarter),8666,2015-01-01,1,0.49999999999999994,0.8660254037844387,1261.7202666666667,5.933333333333334,,,,,
2015,1,Asia,Model X,7292,7298,107082.3,120,702,767.85,Estimated (Region),11748,2015-01-01,1,0.49999999999999994,0.8660254037844387,892.3525000000001,5.85,,,,,
2015,1,Europe,Cybertruck,2161,2465,112637.91,120,695,225.28,Estimated (Region),14062,2015-01-01,1,0.49999999999999994,0.8660254037844387,938.64925,5.791666666666667,,,,,
